session,hour_utc,samples,median_adr_consumed,p75_adr_consumed,p90_adr_consumed
london,8,420,0.7241804965025401,1.0026206258671218,1.4721376738354452
london,9,420,0.7522275080821152,1.0387509101205346,1.7064919176944426
london,10,420,0.7752543438459557,1.1329604907090018,1.7064919176944426
london,11,420,0.8365212856376543,1.1727346938775627,1.7064919176944426
london,12,420,0.8662307730292101,1.1727346938775627,1.7900077429180086
ny,13,420,0.8662307730292101,1.2363887727335279,1.880094868198703
ny,14,420,0.9208150631931932,1.5180722891566147,1.9007757532022551
ny,15,420,0.9982038616973357,1.566981264966885,1.9425142797254067
ny,16,420,1.0143844714778685,1.566981264966885,1.993292459256943
ny,17,420,1.0143844714778685,1.6204764682311374,2.0090782122905133
ny,18,420,1.0143844714778685,1.6389702481886772,2.0240985558598705
ny,19,416,1.0726107052333502,1.6389702481886772,2.0841799301372834
ny,20,408,1.1074996272551072,1.6389702481886772,2.1592816479840535
ny,21,414,1.1074996272551072,1.6389702481886772,2.1592816479840535
off,22,420,0.9982038616973357,1.6193480546792756,2.0090782122905133
off,23,420,1.0418897193053773,1.6193480546792756,2.0090782122905133
tokyo,0,420,0.20341841533421035,0.2981843575418881,0.42352416630773815
tokyo,1,420,0.38557573527479516,0.5338280010660861,0.6199401208528057
tokyo,2,420,0.4883524146687213,0.6116681118971941,0.8896648044692628
tokyo,3,420,0.5224607613205791,0.7936329060430992,1.0026206258671218
tokyo,4,420,0.5476673427991734,0.8072653061224506,1.0109176748303554
tokyo,5,420,0.5533327694129516,0.8162448979591772,1.069341988787252
tokyo,6,420,0.5645811130461824,0.9509387755102029,1.0912991830624952
tokyo,7,420,0.6624166908142708,0.9951038771999237,1.4554162558106616
